B11001_001E,Total:
NAME,Geographic Area Name
GEOID,Geographic Identifier
B11001_004M,Margin Of Error For!!Family households:!!Other family:
B11001_009M,Margin Of Error For!!Nonfamily households:!!Householder not living alone
B11001_008M,Margin Of Error For!!Nonfamily households:!!Householder living alone
B11001_003M,Margin Of Error For!!Family households:!!Married-couple family
B11001_004E,Family households:!!Other family:
B11001_009E,Nonfamily households:!!Householder not living alone
B11001_008E,Nonfamily households:!!Householder living alone
B11001_003E,Family households:!!Married-couple family
