B03002_001M,Margin Of Error For!!Total:
B25075_001E,Total:
B11001_001E,Total:
NAME,Geographic Area Name
B03002_001E,Total:
B25026_001E,Total population in occupied housing units:
B11001_001M,Margin Of Error For!!Total:
B25024_001M,Margin Of Error For!!Total:
B25034_001M,Margin of Error for!!Total:
B25075_001M,Margin Of Error For!!Total:
B25004_001E,Total:
B25034_001E,Total:
B25026_001M,Margin of Error for!!Total population in occupied housing units:
B25004_001M,Margin Of Error For!!Total:
GEOID,Geographic Identifier
B25024_001E,Total:
