B25038_010E,Renter occupied:!!Moved in 2010 or later
B25038_006M,Margin of Error for!!Owner occupied:!!Moved in 1980 to 1989
B25038_014M,Margin of Error for!!Renter occupied:!!Moved in 1970 to 1979
B25038_004E,Owner occupied:!!Moved in 2000 to 2009
B25038_010M,Margin of Error for!!Renter occupied:!!Moved in 2010 or later
B25038_006E,Owner occupied:!!Moved in 1980 to 1989
B25038_014E,Renter occupied:!!Moved in 1970 to 1979
B25038_004M,Margin of Error for!!Owner occupied:!!Moved in 2000 to 2009
B25038_012M,Margin of Error for!!Renter occupied:!!Moved in 1990 to 1999
B25038_012E,Renter occupied:!!Moved in 1990 to 1999
B11001_001E,Total:
B25038_008E,Owner occupied:!!Moved in 1969 or earlier
B25038_008M,Margin of Error for!!Owner occupied:!!Moved in 1969 or earlier
B25038_005M,Margin of Error for!!Owner occupied:!!Moved in 1990 to 1999
B25038_011E,Renter occupied:!!Moved in 2000 to 2009
B25038_003E,Owner occupied:!!Moved in 2010 or later
B25038_015M,Margin of Error for!!Renter occupied:!!Moved in 1969 or earlier
B25038_007M,Margin of Error for!!Owner occupied:!!Moved in 1970 to 1979
B25038_005E,Owner occupied:!!Moved in 1990 to 1999
B25038_011M,Margin of Error for!!Renter occupied:!!Moved in 2000 to 2009
B25038_003M,Margin of Error for!!Owner occupied:!!Moved in 2010 or later
B25038_015E,Renter occupied:!!Moved in 1969 or earlier
B25038_007E,Owner occupied:!!Moved in 1970 to 1979
B25038_013M,Margin of Error for!!Renter occupied:!!Moved in 1980 to 1989
B25038_001M,Margin of Error for!!Total:
B25038_013E,Renter occupied:!!Moved in 1980 to 1989
B25038_001E,Total:
GEOID,Geographic Identifier
NAME,Geographic Area Name
